numThreads,phase1,phase2,phase3,phase4
2,50994385252.6,1342.0,1800.2,24008262274.2
3,33249998394.4,828.4,5439.2,20718908631.2
4,24461793494.2,429.2,5047.4,16489814406.6
5,19352510750.4,781.2,3910.0,13293443866.2
6,15995651793.4,602.0,8003.8,11539481784.0
7,13605355139.4,87.8,4998.0,9993607700.0
8,11789641799.8,533.8,10081.8,9058375086.2
9,10517480045.8,1611.8,6859.8,7915814093.6
10,9352881446.8,62.8,11236.0,7198808460.0
11,8544307427.8,1963.6,11061.0,6639333713.0
12,7802936666.6,4794.4,9504.8,6605238396.4
13,7229820018.2,70.6,16767.8,6291036691.0
14,6768800497.4,679.2,15857.6,6054016534.6
15,6285251334.6,1649.0,10801.8,5208049352.4
16,5872562028.2,79.8,13431.6,5159018001.2
