numThreads,phase1,phase2,phase3,phase4
2,796728753.8,557.8,1132.2,490078764.6
3,511452203.8,396.8,2479.8,422939436.6
4,376019780.8,403.0,2677.8,314651173.0
5,296891405.2,109.6,3566.8,264454015.4
6,244186831.2,92.4,5085.0,233780403.8
7,232004180.0,1025.0,5729.0,202846629.2
8,182090065.0,516.6,5545.8,182933773.0
9,160820898.6,457.6,7392.4,165303792.8
10,164836360.2,1680.2,6382.2,147420407.6
11,162513252.2,403.2,6672.8,135878590.8
12,147719426.4,3149.0,5007.4,134489735.6
13,136164581.2,2001.2,8326.6,145745224.8
14,116781796.2,191.0,4963.2,126236261.6
15,133245518.2,825.8,8386.6,118654997.0
16,130008308.8,89.4,10726.6,120102484.6
