numThreads,phase1,phase2,phase3,phase4
2,24477857020.6,1159.2,1647.2,11760733683.2
3,15941720979.6,659.2,3186.0,10389797470.6
4,11757065338.2,561.6,4283.4,8130841469.0
5,9296475880.0,760.2,8351.4,6562941259.2
6,7656290620.6,97.0,6805.4,5775749511.4
7,6529978290.6,93.0,8421.4,5065774233.8
8,5705225247.8,122.8,15077.8,4572116292.8
9,5027075710.6,102.2,4626.0,3991006999.2
10,4520481769.0,109.2,8031.2,3586225273.8
11,4102215359.6,2062.6,7896.0,3341594938.4
12,3747778603.2,1806.0,11668.2,3189248551.6
13,3448977198.4,98.2,9890.6,3115830752.4
14,3239742125.6,1089.8,9735.6,2793972154.0
15,3003170537.6,803.4,8723.6,2519910629.2
16,2836309134.6,80.8,10978.2,2504071452.4
