numThreads,phase1,phase2,phase3,phase4
2,86016128.0,746.4,672.8,59571681.0
3,56150940.4,604.6,2178.6,50959692.4
4,37967306.4,838.2,2313.2,40806036.0
5,31938583.6,674.6,3342.8,29545528.6
6,26828331.4,79.0,2797.4,26309613.2
7,22891446.4,811.6,2296.4,23213752.0
8,19896153.2,67.2,1627.2,18107667.0
9,18165714.8,1146.6,2876.2,17244297.2
10,16694894.0,700.8,3446.4,19965264.0
11,19509845.0,77.4,2165.4,17377657.0
12,20048684.6,1371.8,3032.8,27298312.2
13,18143153.4,683.0,4851.0,21101928.4
14,19371690.0,2038.0,5706.2,19180473.2
15,15695165.0,471.4,6988.4,21373113.8
16,22389956.0,1069.4,8097.4,22357759.0
