numThreads,phase1,phase2,phase3,phase4
2,1667761485.8,962.4,1051.8,980429023.8
3,1079440730.2,520.0,2913.2,857141455.8
4,796787763.2,434.8,3526.6,647213019.4
5,621787246.8,509.0,4988.4,520410673.4
6,526843902.6,770.6,2970.0,451058432.2
7,446285307.4,1054.0,4046.6,408289359.2
8,380030545.8,88.6,6344.0,362973311.6
9,344792378.8,257.4,7715.4,320353202.2
10,313422660.8,904.4,6069.6,292506242.4
11,293797685.0,2057.6,8427.0,274881103.8
12,276575321.6,1731.8,8037.4,273529374.6
13,236582910.2,269.4,11811.0,258845773.8
14,249222582.6,106.2,11789.0,234668827.8
15,244576923.2,3968.2,11543.8,235107583.6
16,207677758.0,4717.4,11450.0,210620733.4
