numThreads,phase1,phase2,phase3,phase4
2,11758570540.0,542.8,1394.6,6031104842.0
3,7640698770.6,907.6,5275.0,5312821417.4
4,5611629355.6,684.8,4125.6,4120407523.0
5,4437556696.0,553.2,3227.6,3322034149.0
6,3669411138.2,850.8,6352.8,2855474710.4
7,3116670228.2,199.2,7040.4,2534982468.6
8,2706696635.2,70.8,8366.4,2253872669.6
9,2410902924.6,1691.8,8754.2,2152694739.2
10,2174378271.6,64.2,10486.0,1821175405.8
11,1982689116.8,2320.2,6611.2,1660087144.2
12,1839377560.6,2419.6,8516.0,1614494960.8
13,1679893543.4,627.4,13393.6,1574658293.2
14,1568301107.0,90.0,12550.0,1427429001.0
15,1464864514.2,743.4,17097.0,1317586837.4
16,1383224641.8,1251.0,15950.2,1307632882.2
