numThreads,speedup
1,1.0
2,1.4741936981099646
3,2.1289506944883683
4,2.881065789380224
5,3.4975782683078047
6,4.0913744515084
7,4.761847036204053
8,5.499048268484064
9,5.7511107635169525
10,6.309766606540355
11,6.701999668543288
12,7.2831335222862705
13,7.897417610420867
14,8.106903387425962
15,8.395479908341574
16,8.812196959959453
