numThreads,time
1,40401710182.2
2,24401738556.4
3,18714922113.0
4,14796050833.6
5,10798402447.6
6,9403826661.4
7,8193663877.6
8,6903943389.2
9,6366911671.2
10,5777893967.6
11,5785632914.8
12,5135228540.2
13,4737330264.0
14,4480254848.0
15,4225074568.0
16,4345365019.0
