numThreads,time
1,175281266033.0
2,109954090137.4
3,80153766817.8
4,59819813136.4
5,46479918312.2
6,39535655775.2
7,34008315004.6
8,28699023521.0
9,27122036261.6
10,24827823185.6
11,23733383871.8
12,21982039434.4
13,19768695054.8
14,18910655944.0
15,18519931208.4
16,17297244284.6
